,abstract_no,sentence
15253,1607,OBJECTIVE: To determine an appropriate focus score cutoff for childhood Sjgren syndrome (SS).
15254,1607,METHODS: Labial salivary gland tissue from specimens from children with SS and age-matched controls was retrospectively identified and reviewed by a blinded oral pathologist.
15255,1607,RESULTS: The presence of any focal sialadenitis (focus score > 0 foci/4 mm(2)) was common among childhood SS samples but present in only 1 of 8 control samples.
15256,1607,CONCLUSION: The presence of any focal lymphocytic sialadenitis in minor labial salivary gland tissue is suggestive of childhood SS and should be included in future childhood SS-specific diagnostic or classification criteria.
15257,1608,"INTRODUCTION: Immunoglobulin G4 (IgG4)-related disease (IgG4-RD) is a new disease entity characterized by high serum IgG4 levels, IgG4-positive plasmacytic infiltration, and fibrosis in various organs."
15258,1608,The purpose of this study was to determine the mechanism of upregulation of IgG4 class switch recombination in IgG4-RD.
15259,1608,"METHODS: We extracted RNA from peripheral blood mononuclear cells (PBMCs) of patients with IgG4-RD (n = 6), Sjgren syndrome (SS) (n = 6), and healthy controls (n = 8), from CD3-positive T cells and CD20-positive B cells sorted from PBMCs of patients with IgG4-RD (n = 3), SS (n = 4), and healthy controls (n = 4), as well as from labial salivary glands (LSGs) of patients with IgG4-RD (n = 11), SS (n = 13), and healthy controls (n = 3)."
15260,1608,"The mRNA expression levels of IgG4-specific class switch-related molecules, such as Th2 cytokines (IL-4 and IL-13), Treg cytokines (IL-10 and TGF-), and transcriptional factors (GATA3 and Foxp3) were examined with quantitative polymerase chain reaction (PCR)."
15261,1608,"IgG4-nonspecific class switch-related molecules, such as CD40, CD154, BAFF, APRIL, IRF4, and AID, were also examined."
15262,1608,"RESULTS: The expression levels of Treg cytokines (IL-10 and TGF-) and AID were significantly higher in LSGs of IgG4-RD than in SS and the controls (P < 0.05, each)."
15263,1608,"In contrast, those of CD40 and CD154 were significantly lower in PBMCs of IgG4-RD than in SS (P < 0.05, each), whereas CD40 in CD20-positive B cells and CD154 in CD3-positive T cells were comparable in the three groups."
15264,1608,"CONCLUSION: Overexpression of IL-10, TGF-, and AID in LSGs might play important roles in the pathogenesis of IgG4-RD, such as IgG4-specific class-switch recombination and fibrosis."
15265,1608,IgG4 class-switch recombination seems to be mainly upregulated in affected organs.
15266,1609,The aim of this work was to clarify the effect of leflunomide (LEF) on the eye dryness in patients with secondary Sjgren's syndrome associated with rheumatoid arthritis (RA-sSS) and in patients with rheumatoid arthritis (RA).
15267,1609,"Seventy-five female patients, 45 with RA-sSS (group A) and 30 with RA (group B), taking methotrexate at a dose of 20mg/week for more than 6months were enrolled in this study."
15268,1609,They all had a loading dose of leflunomide then were maintained at a dose of 20mg/day in addition to methotrexate for another 3months.
15269,1609,The modified disease activity score (DAS28) was calculated and modified Schirmer's-I test was performed.
15270,1609,Assessment of disease parameters was done to all patients before and after 3months of taking LEF.
15271,1609,"The mean modified Schirmer's-I test showed a significant decrease after 3months of taking LEF in group A (31.6 before versus 1.91.6 after 3months, P<0.001), while this difference was non-significant in group B (21.310 versus 19.911)."
15272,1609,One patient (group A) developed peripheral ulcerative keratitis (PUK) with exacerbation of disease activity (DAS-28=6.9) that improved by taking corticosteroids.
15273,1609,Three patients (group A) had aggravation of punctate keratocojunctivitis sicca with punctate erosions without PUK.
15274,1609,The condition improved dramatically by stopping LEF and using topical lubricants.
15275,1609,We report in this study a significant deterioration of the eye dryness in patients with sSS-RA after 3months of receiving LEF inspite of the significant improvement of their DAS28.
15276,1609,This finding was not clearly detected in RA patients.
15277,1609,"Close monitoring of eye dryness changes by special tests in patients using LEF is recommended, especially in cases with sSS-RA having very low baseline values."
15278,1610,"INTRODUCTION: The aim of this study was to clarify the effectiveness of various imaging modalities and characteristic imaging features in the screening of IgG4-related dacryoadenitis and sialadenitis (IgG4-DS), and to show the differences in the imaging features between IgG4-DS and Sjgren's syndrome (SS)."
15279,1610,"METHODS: Thirty-nine patients with IgG4-DS, 51 with SS and 36 with normal salivary glands were enrolled."
15280,1610,"Images of the parotid and submandibular glands obtained using sonography, 2-[(18)F]-fluoro-2-deoxy-D-glucose positron emission tomography/computed tomography (FDG-PET/CT), computed tomography (CT) and magnetic resonance imaging (MRI) were retrospectively analyzed."
15281,1610,Six oral and maxillofacial radiologists randomly reviewed the arranged image sets under blinded conditions.
15282,1610,Each observer scored the confidence rating regarding the presence of the characteristic imaging findings using a 5-grade rating system.
15283,1610,"After scoring various findings, diagnosis was made as normal, IgG4-DS or SS, considering all findings for each case."
15284,1610,"RESULTS: On sonography, multiple hypoechoic areas and hyperechoic lines and/or spots in the parotid glands and obscuration of submandibular gland configuration were detected mainly in patients with SS (median scores 4, 4 and 3, respectively)."
15285,1610,Reticular and nodal patterns were observed primarily in patients with IgG4-DS (median score 5).
15286,1610,"FDG-PET/CT revealed a tendency for abnormal (18)F-FDG accumulation and swelling of both the parotid and submandibular glands in patients with IgG4-DS, particularly in the submandibular glands."
15287,1610,"On MRI, SS had a high score regarding the findings of a salt-and-pepper appearance and/or multiple cystic areas in the parotid glands (median score 4.5)."
15288,1610,"Sonography showed the highest values among the four imaging modalities for sensitivity, specificity and accuracy."
15289,1610,There were significant differences between sonography and CT (p = 0.0001) and between sonography and FDG-PET/CT (p = 0.0058) concerning accuracy.
15290,1610,CONCLUSIONS: Changes in the submandibular glands affected by IgG4-DS could be easily detected using sonography (characteristic bilateral nodal/reticular change) and FDG-PET/CT (abnormal (18)F-FDG accumulation).
15291,1610,Even inexperienced observers could detect these findings.
15292,1610,"In addition, sonography could also differentiate SS."
15293,1610,"Consequently, we recommend sonography as a modality for the screening of IgG4-DS, because it is easy to use, involves no radiation exposure and is an effective imaging modality."
15294,1611,Vitiligo is associated with other autoimmune diseases.
15295,1611,We report a 52-year-old male with a Sjgren syndrome that was treated with monthly pulses of intravenous immunoglobulin for a chronic inflammatory demyelinating polyradiculoneuropathy.
15296,1611,The neurological disorder responded adequately to the treatment and the patient also noted a marked remission of his vitiligo with almost compete re-pigmentation of the scalp and face and partial repigmentation of other areas.
15297,1612,"To determine the incidence and risk of Parkinson disease (PD) in patients with Sjgren syndrome (SS) according to a nationwide population-based database.In total, 12,640 patients in the SS cohort and 50,560 in the non-SS cohort were enrolled from Taiwan's National Health Insurance Research Database from 2000 to 2010."
15298,1612,"We used the Cox multivariable proportional hazards model to determine the risk factors for PD in the SS cohort.We observed an increased incidence of PD in patients with SS, with a crude hazard ratio (HR) of 1.40 and an adjusted HR (aHR) of 1.23."
15299,1612,The cumulative incidence of PD was 1.95% higher in the SS cohort than in the non-SS cohort.
15300,1612,"The SS cohort had an elevated HR under medication use, namely cevimeline and pilocarpine (crude HR, 1.28), hydroxychloroquine (crude HR, 1.43; aHR, 1.46), and methylprednisolone (crude HR, 2.21; aHR, 1.49)."
15301,1612,"Patients receiving other non-hydroxychloroquine immunosuppressant therapies had a lower risk (aHR, 0.86) of PD."
15302,1612,"Furthermore, patients with SS aged 20 to 49 years had a 1.93-fold higher risk of PD than did those without SS (aHR, 1.93)."
15303,1612,"The risk of PD was higher (aHR, 2.20) in patients with SS without comorbidities than in those with comorbidities."
15304,1612,"The aHR of PD significantly increased when the follow-up period exceeded 9 years (aHR, 1.93).We determined an increased risk of PD in patients with SS."
15305,1612,Further investigation is warranted to determine the possible underlying mechanisms and the potential role of non-hydroxychloroquine immunosuppressants in ameliorating PD.
15306,1613,The ability to probe the protein content of human tear fluid has enormous potential for deepening our understanding of ocular and systemic disease pathology and enabling novel noninvasive tear-based diagnostic technologies.
15307,1613,"To overcome current challenges in tear proteomic measurements, we report on the first microfluidic homogeneous immunoassay capable of making rapid, quantitative, and specific measurements of endogenous tear protein biomarkers in human tear fluid."
15308,1613,"Lactoferrin (Lf) is a tear-specific biomarker for Sjgren's syndrome (SS), a serious systemic autoimmune disease currently diagnosed through rudimentary volumetric and surface chemistry measurements and an invasive lip biopsy."
15309,1613,We detail optimization of a homogeneous electrophoretic immunoassay for Lf in <1 L of tear fluid at clinically relevant concentrations.
15310,1613,"In particular, we present assay development details and a final assay that enables quantification of Lf in <5 s in a clinically relevant range for SS diagnostics."
15311,1613,"Characterization suggests the on-chip assay is accurate to within 15% of ELISA, specific (<15% nonspecific signal), and with a lower limit of detection of 3  2 nM Lf in human tear matrix."
15312,1613,"Additionally, we develop and characterize a protocol for eluting proteins from nitrocellulose Schirmer strips, the clinical de facto standard for tear collection and storage."
15313,1613,We relate on-chip measured Lf concentrations back to ocular surface concentrations for the first time to our knowledge.
15314,1613,"Taken in sum, this work details important steps toward (1) expanding the set of proteins quantified by electrophoretic immunoassays to encompass a wider range of isoelectric points than has been reported, (2) creating a first-in-kind translatable assay with clinical relevance to SS diagnostics, and (3) expanding the analytical toolkit available for rapid tear protein measurements, as is relevant to the advancement of basic research and clinical medicine."
15315,1614,BACKGROUND: Chronic sialadenitis is a relatively common disorder that is frequently referred to head and neck surgeons for diagnosis and management.
15316,1614,The management of the disorder is rapidly evolving with the introduction of salivary endoscopy.
15317,1614,The purpose of the present study was a review of the indications and techniques of endoscopic-assisted management of chronic sialadenitis at a single U.S. institution.
15318,1614,METHODS: This study is a retrospective case series of patients undergoing salivary endoscopy for chronic sialadenitis.
15319,1614,"Patient clinical information was reviewed to determine endoscopic findings, associated procedures, complications, rate of gland preservation, and early symptom control."
15320,1614,RESULTS: A total of 51 patients underwent endoscopic-assisted salivary surgery over a 24-month period.
15321,1614,"Treatment indications included sialadenitis of unclear etiology (49%), sialadenitis with sialolithiasis (47%), and Sjgren syndrome (4%)."
15322,1614,Findings included obstructive stricture formation in 22 patients (43%).
15323,1614,"Associated procedures included sialodochoplasty (41%), steroid infusion (39%), and ductal stenting (8%)."
15324,1614,Gland preservation was achieved in 40 patients (78%).
15325,1614,"Of those who were treated with endoscopic-assisted techniques alone, 38 patients (84%) had symptomatic improvement whereas 7 patients (16%) did not improve."
15326,1614,Minor complications were observed in 12% of the patients.
15327,1614,CONCLUSION: Endoscopic-assisted management of chronic sialadenitis is both safe and effective and allows gland preservation with symptom control in the majority of patients.
15328,1615,"Pityriasis versicolor is one of the most frequent epidermal mycotic infections in the world, but its atrophic variant is rarely described."
15329,1615,"The aetiology of the atrophy is still unknown, and two main hypotheses have been formulated, one suggesting a correlation with long-term use of topical steroids and the other a delayed type hypersensitivity to epicutaneous antigens derived from components of the fungus."
15330,1615,"Atrophic pityriasis versicolor is a benign disease, but needs to be distinguished from other more severe skin diseases manifesting with cutaneous atrophy."
15331,1615,"The diagnosis can be easily confirmed by direct microscopic observation of the scales soaked in 15% potassium hydroxide, which reveals the typical 'spaghetti and meatball' appearance, or by a skin biopsy in doubtful cases."
15332,1615,"Here, we describe a case of extensive atrophic pityriasis versicolor occurring in a woman affected by Sjgren's syndrome which completely resolved after topical antifungal treatment."
15333,1616,PURPOSE: This study evaluates the efficacy of 3% diquafosol tetrasodium ophthalmic solution in Sjgren's syndrome (SS) and non-SS dry eye patients unresponsive to conventional artificial tear.
15334,1616,METHODS: This retrospective study included 38 dry eye patients (11 with SS and 27 with non-SS) who were treated with 3% diquafosol due to lack of response to artificial tear treatment for more than 3 months.
15335,1616,"Signs such as tear film break-up time (TBUT), Schirmer-I test, and total ocular staining score (OSS), which consisted of corneal OSS and conjunctival OSS, were evaluated at baseline and the first visit after treatment."
15336,1616,Symptoms were quantified using visual analog scale (VAS) and ocular surface disease index (OSDI) scores.
15337,1616,Changes of parameters after treatment in all the patients and differences of changes in SS and non-SS were evaluated.
15338,1616,"RESULTS: In total population, total OSS and corneal OSS improved average 6 weeks after diquafosol treatment (all P<0.05, paired t-test), although conjunctival OSS had no improvement."
15339,1616,"TBUT increased after treatment (P=0.036), while Schirmer-I test, OSDI, and VAS showed no improvement."
15340,1616,"With respect to comparisons, total and corneal OSS improved in non-SS patients and TBUT improved in SS patients (all P<0.05)."
15341,1616,"CONCLUSIONS: Three percent diquafosol tetrasodium treatment could be considered as an additive or substitute treatment when artificial tear treatment is insufficient, as it improved OSS and TBUT."
15342,1616,"This study also demonstrated that diquafosol treatment is beneficial for TBUT improvement in SS, while it is beneficial for OSS improvement in non-SS dry eye patients."
15343,1617,OBJECTIVES: Saccharomyces cerevisiae is a common yeast used in the food industry.
15344,1617,IgG and IgA antibodies against the phosphopeptidomannan of the S. cerevisiae cell wall (ASCA) are a well known marker of disease severity in Crohn's disease.
15345,1617,"Moreover, a number of studies assessed ASCA in several systemic and organ-specific autoimmune diseases postulating molecular mimicry as a possible link between ASCA and autoimmunity."
15346,1617,"However, since they have never been tested in primary Sjgren's syndrome (pSS), the purpose of this study was to investigate these antibodies in a large cohort of pSS patients, compared to healthy donors (HD), and their significance as potentially helpful biomarker in a clinical setting."
15347,1617,"METHODS: ASCA IgG+IgA were assessed with ASCA screen dot for Blue Diver instrument (Alphadia sa/nv, Belgium)."
15348,1617,"The comparison between the aminoacid sequence of mannan of S. cerevisiae and well characterised auto-antigens peculiar to pSS (52kD and 60kD Ro/SSA, La/SSB) was performed with the Basic Local Alignment Search Tool (BLAST)."
15349,1617,RESULTS: The prevalence of ASCA in our pSS cohort was 4.8%.
15350,1617,We also reported that the ASCA target protein has a high similarity with Ro60/SSA protein further supporting the molecular mimicry hypothesis.
15351,1617,"Finally, we observed that ASCA positivity is associated with pSS specific clinical and serological features."
15352,1617,"ASCA+ pSS patients displayed a triple combination of circulating anti-Ro52/SSA, anti-Ro60/SSA and anti-La/SSB antibodies, associated with low complement and cutaneous involvement."
15353,1617,CONCLUSIONS: Our data suggest a possible pathogenic/prognostic significance of ASCA in pSS.
15354,1618,PURPOSE: To report the ocular complications of primary Sjgren syndrome (SS) in men.
15355,1618,DESIGN: Retrospective cohort study.
15356,1618,METHODS: setting: Tertiary-care SS center.
15357,1618,PATIENT POPULATION: Total of 163 consecutive primary Sjgren syndrome patients evaluated between January 2007 and March 2013.
15358,1618,MAIN OUTCOME MEASURE: Frequency of extraglandular ocular and systemic manifestations and serologic results in men compared to women.
15359,1618,RESULTS: Fourteen of the 163 primary SS patients (9%) were men.
15360,1618,"On initial presentation, men were a decade older (61 vs 50 years, P < .01) and less likely than women to have a prior diagnosis of SS (43% vs 65%, P= .09)."
15361,1618,"A majority of men reported dry eye on presentation (92%), albeit less chronic compared to women (5.9 vs 10.8 years, P= .07)."
15362,1618,"Men were more likely to present with serious ocular complications than women (43% vs 11%, P= .001)."
15363,1618,"Extraglandular systemic complications of SS (ie, vasculitis, interstitial nephritis) were also more common in men (64% vs 40%, P= .07)."
15364,1618,"Further, men were more likely to be negative for anti-SSA/Ro, anti-SSB/La, and antinuclear antibodies than women (36% men vs 11% women, P=.01)."
15365,1618,CONCLUSION: Men with primary SS have a higher frequency of serious ocular and systemic manifestations.
15366,1618,"Although primary Sjgren syndrome is typically considered a disease of middle-aged women, it may be underdiagnosed and consequentially more severe in men."
15367,1618,Physicians should have a lower threshold to test for SS in men with dry eye.
15368,1619,PURPOSE: Recent literature suggests that sialendoscopy of the major salivary glands could alleviate symptoms of Sjgren syndrome (SS) and restore salivary function.
15369,1619,The aim of this study was to evaluate the authors' experience of sialendoscopy of the salivary glands in patients with SS.
15370,1619,"MATERIALS AND METHODS: In this retrospective case series study, the surgical data of patients with SS who had undergone sialendoscopy at the VU University Medical Center (Amsterdam, The Netherlands) from November 2014 through April 2015 were used."
15371,1619,Outcome measurements were successful entry to the salivary gland and completion of sialendoscopy as planned.
15372,1619,"Furthermore, pre- and postoperative complications were scored."
15373,1619,Descriptive analysis of the data was performed.
15374,1619,"RESULTS: Surgical data of sialoendoscopic procedures in 26 patients with SS (24 women and 2 men; mean age, 57yr; range, 27 to 72yr) were analyzed."
15375,1619,Sialendoscopy was successfully performed in 78 of 104 salivary glands (75%; 50 parotid and 28 submandibular glands) in the 26 patients.
15376,1619,Sialendoscopy failed in 26 of the 104 sialoendoscopic procedures (25%; 2 parotid and 24 submandibular glands).
15377,1619,"In 16 salivary glands, the ductal orifice could not be identified."
15378,1619,"In 7 salivary glands, sialendoscopy could not be performed because of partial or complete stenosis of the salivary duct."
15379,1619,"In 3 salivary glands, sialendoscopy was not performed because of a ductal perforation."
15380,1619,Three patients developed a postoperative infection.
15381,1619,CONCLUSION: The overall rate of complications was limited and the sialoendoscopic complications in patients with SS could be regarded as minor.
15382,1619,Most complications were seen for sialendoscopy of the submandibular glands in this specific patient category.
15383,1619,Careful preoperative selection of patients and salivary glands could contribute to a lower rate of complications and more predictable results.
15384,1620,BACKGROUND: A number of reports have indicated an association between thyroid diseases and primary Sjgren's syndrome (pSS).
15385,1620,"However, fewer studies have investigated whether the presence of thyroid diseases is associated with increased risk of developing pSS."
15386,1620,"Thus, the aim of our study was to use a nationwide health claims database to explore the prevalence and risk of pSS in female patients with thyroid diseases."
15387,1620,"METHODS: From the Registry of Catastrophic Illness database in the National Health Insurance Research Database in Taiwan, we identified 389 female patients with a diagnosis of pSS from 2005 to 2010."
15388,1620,"We also obtained 1945 control subjects frequency-matched on sex, 10-year age interval, and year of index date from the Longitudinal Health Insurance Database (LHID2000)."
15389,1620,Both groups were retrospectively traced back to a period of eight years to obtain diagnosis of thyroid diseases prior to index date.
15390,1620,"RESULTS: A significantly higher risk of pSS was associated with the presence of thyroid diseases (adjusted odds ratio (AOR) = 2.1, 95% confidence interval (CI) = 1.6-2.9)."
15391,1620,"Among the sub-categories of thyroid diseases, patients with thyroiditis (AOR = 3.6, 95% CI = 1.7-7.5), thyrotoxicosis (AOR = 2.5, 95% CI = 1.6-3.8), and unspecified hypothyroidism (AOR = 2.4, 95% CI = 1.2-4.6), and simple and unspecified goiter (AOR = 2.0, 95% CI = 1.3-3.3) were significantly associated with increased risk of pSS."
15392,1620,"The associations were generally stronger in the mid-forties to mid-sixties age group, except in patients with unspecified hypothyroidism."
15393,1620,"CONCLUSIONS: The risk of pSS was significantly increased in female patients with thyroid diseases, particularly those in their mid-forties to mid-sixties."
15394,1620,An increased awareness of the possibility of pSS in perimenopausal females with thyroid diseases is important to preserve their quality of life and to avoid comorbidity.
15395,1621,"OBJECTIVE: The central nervous system (CNS) may be involved in a variety of inflammatory diseases of the blood vessels, generally known as vasculitis."
15396,1621,"The clinical diagnosis of such involvement in early stages is difficult, since a mild cognitive impairment can be the only symptom."
15397,1621,It was hypothesized that brain-perfusion SPECT would be able to reveal CNS involvement and to monitor the course of the disease.
15398,1621,The purpose of this study was assess if and when an improvement of cerebral perfusion can be registered by SPECT during the follow-up of these diseases.
15399,1621,"MATERIAL AND METHODS: Eighteen patients affected by Systemic Lupus Erythematosus (SLE), 22 by undifferentiated vasculitis (UV), 5 by Behcet's disease (BD) and 5 by primary Sjogren's Syndrome (pSS) were enrolled in this prospective study."
15400,1621,A (99m)Tc-HMPAO brain perfusion SPECT was performed before the treatment and was repeated during the follow-up at different time intervals.
15401,1621,Image analysis was performed on 10 cerebral areas using a specific software.
15402,1621,"RESULTS: In the SLE patients, no significant improvement of brain perfusion was found."
15403,1621,"On the contrary, in the UV the cerebral uptake of the tracer significantly improved from the twenty-fourth month (18/22 patients)."
15404,1621,"Patients with BD showed an improvement of scintigraphic findings (5/5 patients), while a similar result was obtained only in 2 of the patients with pSS."
15405,1621,"CONCLUSIONS: In conclusion, brain SPECT seems to be able to monitor the disease in UV, indicating the moment when an improvement of the cerebral perfusion is achieved."
15406,1621,In SLE patients this scintigraphic technique did not show a significant improvement in CNS perfusion.
15407,1622,"BACKGROUND: Cryoglobulinaemic vasculitis (CV) is often related to hepatitis C virus (HCV) infection, but it can develop in other diseases (e.g."
15408,1622,"other infections, connective tissue diseases, malignancies) in the absence of HCV infection."
15409,1622,A comparison of the performance of the recently published classification criteria for the CV was made between HCV-positive and HCV negative patients with serum cryoglobulins.
15410,1622,METHODS: 500 patients with serum cryoglobulins were studied.
15411,1622,"Their mean age was 60.7713.75 years, they were 356 females (71.2%) and 144 males (28.8%)."
15412,1622,"CV was diagnosed in 272 patients (54.4%), while other diseases associated with serum cryoglobulins without CV (CwV) were diagnosed in 228 patients (45.6%)."
15413,1622,"RESULTS: 117 HCV negative patients were collected (23.4%) and they were 42/272 (15.4%) among the CV group, while they were 75/228 (32.9%) among the CwV."
15414,1622,"In HCV negative patients the sensitivity and specificity of the classification criteria of CV were 89.5% CI 95% [79.5-99.5] and 90.3% CI 95% [82.8-97.8], respectively, while in HCV positive patients they were 88.3% CI 95% [83.6%-93.1%] and 96.1% CI 95% [91.8-100], respectively."
15415,1622,"The most frequent disease recognised among the HCV negative patients was Sjgren's syndrome (SS) (55/117, 47.0%), and the sensitivity and the specificity of the CV classification criteria were 88.9% CI 95% [76.5-100] and 91.3% CI 95% [79.2-100], respectively."
15416,1622,CONCLUSIONS: The classification criteria for CV showed a good performance even in HCV-unrelated patients.
15417,1622,"A slightly lower specificity was observed for the classification of HCV-unrelated CV, since some clinical manifestations included in the clinical item for the classification criteria occurred more frequently in HCV-negative rather than HCV-positive controls with CWV."
15418,1623,OBJECTIVE: To examine the role of CD40-CD154 costimulation and effects of therapeutic pathway blockade in the non-obese diabetic (NOD/ShiLtJ) model of Sjgren's syndrome (SS).
15419,1623,METHODS: We assessed leucocyte infiltration in salivary glands (SGs) from NOD/ShiLtJ mice by immunohistochemistry and examined transcriptomics data of SG tissue from these animals for evidence of a CD40 pathway gene signature.
15420,1623,"Additionally, we dosed MR1 (anti-CD154 antibody) in NOD mice after the onset of SS-like disease and examined the effects of MR1 treatment on sialadenitis, autoantibody production, SG leucocyte infiltration, gene expression downstream of CD40 and acquaporin 5 (AQP5) expression."
15421,1623,RESULTS: We could detect evidence of CD40 expression and pathway activation in SG tissue from NOD mice.
15422,1623,"Additionally, therapeutic treatment with MR1 suppressed CD40 pathway genes and sialadenitis, inhibited ectopic lymphoid structure formation and autoantibody production, as well as decreased the frequency of antibody-secreting cells in SGs but had minimal effects on AQP5 expression in NOD/ShiLtJ SGs."
15423,1623,"CONCLUSION: CD40-CD154 interactions play an important role in key pathological processes in a mouse model of SS, suggesting that blockade of this costimulatory pathway in the clinic may have beneficial therapeutic effects in patients suffering from this autoimmune exocrinopathy."
15424,1624,"OBJECTIVE: To better understand the role of B cells, the potential mechanisms responsible for their aberrant activation, and the production of autoantibodies in the pathogenesis of Sjgren's syndrome (SS), this study explored patterns of selection pressure and sites of N-glycosylation acquired by somatic mutation (acN-glyc) in the IgG variable (V) regions of antibody-secreting cells (ASCs) isolated from the minor salivary glands of patients with SS and non-SS control patients with sicca symptoms."
15425,1624,METHODS: A novel method to produce and characterize recombinant monoclonal antibodies (mAb) from single cell-sorted ASC infiltrates was applied to concurrently probe expressed genes (all heavy- and light-chain isotypes as well as any other gene of interest not related to immunoglobulin) in the labial salivary glands of patients with SS and non-SS controls.
15426,1624,"V regions were amplified by reverse transcription-polymerase chain reaction, sequenced, and analyzed for the incidence of N-glycosylation and selection pressure."
15427,1624,"For specificity testing, the amplified regions were expressed as either the native mAb or mutant mAb lacking the acN-glyc motif."
15428,1624,"Protein modeling was used to demonstrate how even an acN-glyc site outside of the complementarity-determining region could participate in, or inhibit, antigen binding."
15429,1624,"RESULTS: V-region sequence analyses revealed clonal expansions and evidence of secondary light-chain editing and allelic inclusion, of which neither of the latter two have previously been reported in patients with SS."
15430,1624,"Increased frequencies of acN-glyc were found in the sequences from patients with SS, and these acN-glyc regions were associated with an increased number of replacement mutations and lowered selection pressure."
15431,1624,"A clonal set of polyreactive mAb with differential framework region 1 acN-glyc motifs was also identified, and removal of the acN-glyc could nearly abolish binding to autoantigens."
15432,1624,"CONCLUSION: These findings support the notion of an alternative mechanism for the selection and proliferation of some autoreactive B cells, involving V-region N-glycosylation, in patients with SS."
15433,1625,BACKGROUND: To clarify the clinicopathological characteristics of primary Sjgren's syndrome (pSS) with anti-centromere antibody (ACA).
15434,1625,METHODS: Characteristics of 14 patients of pSS with ACA were evaluated.
15435,1625,All patients were anti-SS-A/Ro and SS-B/La antibodies negative (ACA+ group) without sclerodactyly.
15436,1625,"The prevalence of Raynaud's phenomenon (RP), titer of IgG and focus score (FS) in the minor salivary glands (MSGs) were determined."
15437,1625,Quantification analysis of Azan Mallory staining was performed to detect collagenous fiber.
15438,1625,Forty eight patients in whom ACA was absent were chosen as the conventional (ACA-) pSS group.
15439,1625,RESULTS: Prevalence of ACA+ SS patients was 14 out of 129 (10.85%) pSS patients.
15440,1625,RP was observed in 61.5% of the patients with ACA.
15441,1625,The level of IgG in the ACA+ group was significantly lower than that of the ACA- group (p = 0.018).
15442,1625,Statistical difference was also found in the FS of MSGs from the ACA+ group (1.4 +/- 1.0) as compared with the ACA- group (2.3 +/- 1.6) (p = 0.035).
15443,1625,"In contrast, the amount of fibrous tissue was much higher in the ACA+ group (65052.2 +/- 14520.6 microm(2) versus 26251.3 +/- 14249.8 microm(2)) (p = 1.3 x 10(-12))."
15444,1625,CONCLUSIONS: Low cellular infiltration but with an increase in fibrous tissues may explain the clinical feature of a high prevalence of RP and normal IgG concentration in ACA+ pSS.
15445,1626,Hypercalcaemia is a rare but potentially life-threatening consequence of malignancies.
15446,1626,"Solid cancers, such as lymphomas, increase serum calcium primarily through parathyroid hormone-related protein or ectopic production of 1alpha-hydroxylase."
15447,1626,We present a case of 56-year-old woman with Sjogren's syndrome and psoriasis in the setting of chronic methotrexate (MTX) use who developed worsening hypercalcaemia and symptoms suggestive of lymphoma.
15448,1626,Pathology results diagnosed her with MTX-induced iatrogenic immunodeficiency-associated lymphoproliferative disorder (LPD).
15449,1626,This case reminds clinicians that chronic MTX use is associated with LPDs and can ultimately lead to hypercalcaemia.
15450,1626,"The patient's MTX and other immunosuppressive medications were stopped, and her calcium corrected with fluids and calcitonin."
15451,1626,"At her 8-month follow-up postdischarge, the patient was asymptomatic with normal laboratory results and in partial clinical remission."
15452,1627,"INTRODUCTION: Sjgren's syndrome (SS) involves a chronic, progressive inflammation primarily of the salivary and lacrimal glands leading to decreased levels of saliva and tears resulting in dry mouth and dry eye diseases."
15453,1627,"Seminal findings regarding TH17 cell populations that secrete predominantly interleukin (IL)-17A have been shown to play an important role in an increasing number of autoimmune diseases, including SS."
15454,1627,"In the present study, we investigated the function of IL-17A on the development and onset of SS."
15455,1627,METHODS: Adenovirus serotype 5 (Ad5) vectors expressing either IL-17A or LacZ were infused via retrograde cannulation into the salivary glands of C57BL/6J mice between 6 and 8 weeks of age or between 15 and 17 weeks of age.
15456,1627,The mice were characterized for SS phenotypes.
15457,1627,"RESULTS: Disease profiling indicated that SS-non-susceptible C57BL/6J mice whose salivary glands received the Ad5-IL17A vector developed a SS-like disease profile, including the appearance of lymphocytic foci, increased cytokine levels, changes in antinuclear antibody profiles, and temporal loss of saliva flow."
15458,1627,CONCLUSIONS: Induction of SS pathology by IL-17A in SS-non-susceptible mice strongly suggests that IL-17A is an important inflammatory cytokine in salivary gland dysfunction.
15459,1627,"Thus, localized anti-IL17 therapy may be effective in preventing glandular dysfunction."
15460,1628,"B-cell activating factor (BAFF) levels are increased in rheumatoid arthritis, lupus and primary Sjgren's syndrome (pSS)."
15461,1628,"However, BAFF contribution to pathogenesis is not completely understood."
15462,1628,"In pSS, immune infiltration of the salivary and lacrimal glands leads to xerostomia and xerophtalmia."
15463,1628,"Glandular B cell hyperactivation, differentiation into germinal center (GC)-like structures and plasma cell accumulation are histopathological hallmarks that were attributed to increased BAFF."
15464,1628,"Here, we experimentally tested this hypothesis by overexpressing BAFF in a mouse model of pSS."
15465,1628,BAFF overexpression enhanced lymphocytic infiltration and MHCII expression on B cells.
15466,1628,Increased BAFF also induced B cell differentiation into GC B cells within the autoimmune target tissue.
15467,1628,"However, even in these conditions, GC B cells only accounted for <1% of glandular B cells, demonstrating that BAFF is not efficiently promoting ectopic GC formation in pSS and warranting further investigation of therapeutics targeting both BAFF and the related TNF-family member APRIL."
